id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score
adi-token,adi,ADI,3.27,318015013,128,2213128.0,4.03232,-5.747587988909592,97364999.92,0.006959193464240634,0.006959193464240634,0.5666642387584637,0.4190762716657851,0.003561545742664758,0.746,0.0,0.4568965161361236
cosmos,atom,Cosmos Hub,1.85,924353508,70,32555161.0,-2.51324,2.1962733138796597,498869084.430516,0.035219383837725424,0.035219383837725424,0.4338618531053318,0.47208230409494156,0.022422075401000503,0.862,0.0,0.4568964577943687
render-token,render,Render,1.64,850119397,75,62299060.0,-3.65335,3.6116184377236578,518743261.0140742,0.07328271795685189,0.07328271795685189,0.4107302451287809,0.4815263045216084,0.04782511170618033,0.852,0.0,0.45490008990480485
uniswap,uni,Uniswap,3.53,2237465424,42,264395011.0,-2.95354,-8.54018691134212,633561603.6037512,0.11816719407772176,0.11816719407772176,0.42492863877331527,0.40044243814302316,0.07778050060797634,0.918,0.0,0.4537103859598035
ondo-finance,ondo,Ondo,0.254493,1239548036,60,50035915.0,-3.21333,0.5083801661428639,4869330647.0,0.0403662573347823,0.0403662573347823,0.4196577785613812,0.46081970577962694,0.02585704023867627,0.882,0.0,0.4535906681164918
kite-2,kite,Kite,0.192389,345576761,120,215259559.0,-3.02147,-23.838649960212845,1800000000.0,0.6228994055534885,0.6228994055534885,0.4235504119970857,0.29836225351039786,0.4146330383385008,0.762,0.0,0.4520787547931169
sky,sky,Sky,0.071397,1646708290,51,16164252.0,0.28273,-11.607902429787258,23071974836.76821,0.009816099243661426,0.009816099243661426,0.4905890828938583,0.3799728677343561,0.005468212168889272,0.9,0.0,0.4519646450367416
neo,neo,NEO,2.71,190999068,179,21186377.0,0.93814,5.743300492636359,70530000.0,0.11092398105314315,0.11092398105314315,0.5038866482023909,0.4957501188386685,0.07294646261084083,0.644,0.0,0.451899126346317
arbitrum,arb,Arbitrum,0.09843,594575039,90,52586235.0,-2.52866,0.3446717224759809,6040824145.0,0.0884433949471599,0.0884433949471599,0.4335489978589096,0.45972734845575386,0.057943175110467766,0.822,0.0,0.4514836553714614
polygon-ecosystem-token,pol,POL (ex-MATIC),0.094513,1002714172,68,45302239.0,-2.19936,-3.044814279529773,10610558433.01956,0.04517961375736893,0.04517961375736893,0.440230141350922,0.43711073946770346,0.02906941957386691,0.866,0.0,0.4504393625959021
akash-network,akt,Akash Network,0.497786,130079105,224,28309092.0,-1.98845,17.058453002713737,261245113.74454,0.21762981840934406,0.21762981840934406,0.44450927883619473,0.5712513540729015,0.1441607249203559,0.554,0.0,0.4503673059351168
pudgy-penguins,pengu,Pudgy Penguins,0.00699397,439540876,108,102622932.0,-4.25109,0.2174906988586993,62860396090.0,0.23347756170918674,0.23347756170918674,0.3986027422107261,0.4588787231833232,0.15473732856577277,0.786,0.0,0.45026921360426847
usx,usx,USX,0.999756,365006768,117,13130507.0,0.00415,0.009434330287922293,365095672.147034,0.03597332474667977,0.03597332474667977,0.4849369937532424,0.45749045088107604,0.02292524698923254,0.768,0.0,0.45015351772342227
pancakeswap-token,cake,PancakeSwap,1.4,462536009,102,25001455.0,-1.84138,1.7307622600817116,329524309.8496519,0.05405299158016474,0.05405299158016474,0.4474931712545678,0.46897614538027715,0.034991411017826955,0.798,0.0,0.4497891123987537
lombard-protocol,bard,Lombard,0.596267,134165731,217,255138368.0,-6.01675,-48.65938969843182,225000000.0,1.9016656943493269,1.5,0.3627793962705301,0.1327439370101165,1.0,0.568,0.0,0.4495125879096045
bonk,bonk,Bonk,5.88e-06,516751605,97,60808963.0,-2.84481,-0.1776052582293106,87994756336319.27,0.1176754216370552,0.1176754216370552,0.42713465375019505,0.45624241467845517,0.07745229727389526,0.808,0.0,0.4490972271129001
falcon-finance-ff,ff,Falcon Finance,0.070722,165489171,196,68683693.0,-1.03276,-4.249048438709427,2340000000.0,0.4150343649978161,0.4150343649978161,0.46389920299010085,0.4290753933733096,0.2759062742750219,0.61,0.0,0.4488334923383291
bnb48-club-token,koge,KOGE,48.0,162248096,198,45901749.0,-0.04022,-0.0002618681147604469,3379998.56,0.2829108638661621,0.2829108638661621,0.4840367740850353,0.45742575224304827,0.1877285522312678,0.606,0.0,0.447110632781754
ethereum-name-service,ens,Ethereum Name Service,6.17,236630019,155,28751205.0,-0.87115,2.8877537396319934,38380013.53099827,0.12150277940855847,0.12150277940855847,0.46717809639958796,0.4766962610202325,0.0800066323228986,0.692,0.0,0.4453070629720597
curve-dao-token,crv,Curve DAO,0.232775,346215764,119,42960378.0,-2.66176,0.9259979755007898,1487368647.0,0.1240855630132428,0.1240855630132428,0.43084854174355325,0.46360629309555185,0.0817303527272352,0.764,0.0,0.444464884777505
