id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket,explanation
mocaverse,moca,Moca Network,0.01428755,58478059,399,3587732.0,-6.8414,0.7261313759280126,4092939316.7625,0.06135176271838982,0.06135176271838982,0.358974215979735,0.4653042103411515,0.03973248468209609,0.1975806451612903,0.08,0.22113098849089602,High,speculative,Moderately positive 7d trend | Heavy 24h weakness | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
freysa-ai,fai,Freysa AI,0.00689061,56406011,416,1894701.0,5.06442,6.475538710852899,8189700000.0,0.03359040936257662,0.03359040936257662,0.5731557059649889,0.5032949930315163,0.02120236375467524,0.16330645161290322,0.15,0.2208760396166735,High,speculative,Moderately positive 7d trend | Positive 24h continuation | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
velo,velo,Velo,0.0038527,67647061,361,7882312.0,-14.26502,9.191041349925625,17563876115.0,0.11652113016410277,0.11652113016410277,0.2254259183669431,0.5212384200051892,0.07655687999005428,0.27419354838709675,0.08,0.21712676795460767,High,speculative,Moderately positive 7d trend | Heavy 24h weakness | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
orca,orca,Orca,0.911055,55419801,415,23507645.0,-2.72002,-1.5695904962636527,60798795.681235,0.42417411423039936,0.42417411423039936,0.4331163841962397,0.45013459968682307,0.28190879224603965,0.16532258064516128,0.15,0.20744572158216304,High,speculative,Negative 7d trend | Minor 24h pullback | Elevated trading activity | Smaller-cap profile | Classified as High risk / speculative
succinct,prove,Succinct,0.27319,53301060,428,6107924.0,1.64631,3.890272287056952,195000000.0,0.11459291803952867,0.11459291803952867,0.5116651162589883,0.4862121374984752,0.07526983885109642,0.13911290322580644,0.15,0.20096763009077742,High,speculative,Moderately positive 7d trend | Mild positive 24h movement | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
circle-xstock,crclx,Circle xStock,122.57,52255837,437,22326272.0,-7.34123,7.4463006549794,426146.539347785,0.42724934249928864,0.42724934249928864,0.34998245110009385,0.5097095682937972,0.28396144259674777,0.12096774193548387,0.15,0.19021386289468054,High,speculative,Moderately positive 7d trend | Heavy 24h weakness | Elevated trading activity | Smaller-cap profile | Classified as High risk / speculative
yooldo-games,esports,Yooldo Games,0.297312,45136575,483,32779270.0,-8.90002,1.6250076029542075,151800000.0,0.7262241319816579,0.7262241319816579,0.32194037043919743,0.4712437810511704,0.4835208420378568,0.028225806451612902,0.15,0.18707296571303114,High,speculative,Moderately positive 7d trend | Heavy 24h weakness | Elevated trading activity | Smaller-cap profile | Classified as High risk / speculative
meet48,idol,MEET48,0.02636792,47027183,474,6069229.0,-2.1391,16.02993483999752,1782229434.502125,0.12905788977409088,0.12905788977409088,0.4435669294894017,0.5664282806792834,0.08492490400652176,0.046370967741935484,0.15,0.18643057790995457,High,speculative,Healthy 7d uptrend | Minor 24h pullback | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
tesla-xstock,tslax,Tesla xStock,382.05,49869514,451,22905646.0,-3.88724,-4.070530322987188,130542.6495427208,0.45931159465480254,0.45931159465480254,0.4121185093131499,0.4336089552257713,0.30536232323943174,0.09274193548387097,0.15,0.18547421482781126,High,speculative,Negative 7d trend | Minor 24h pullback | Elevated trading activity | Smaller-cap profile | Classified as High risk / speculative
eurite,euri,Eurite,1.15,54136619,422,4796604.0,0.16112,0.06372145659135836,46968932.99990108,0.08860183898813481,0.08860183898813481,0.4849470735612825,0.4609271554846287,0.05792133888124056,0.15120967741935484,0.15,0.18412898666749336,High,speculative,Moderately positive 7d trend | Mild positive 24h movement | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
