id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket
grx-chain,grx,GRX Chain,10.19,97184591,274,25426794.0,-4.86178,-8.046277939486659,9512444.0,0.2616340073911511,0.2616340073911511,0.40971207216939487,0.40243098713571884,0.17340577224201004,0.4529058116232465,0.0,0.3736313605631331,High,speculative
cheems-token,cheems,Cheems Token,4.51688e-07,91916815,286,1342190.0,-0.41328,-6.104025942367717,203672952113698.72,0.014602224848630798,0.014602224848630798,0.49936956583079045,0.4153362923890658,0.008515064049806429,0.4288577154308617,0.0,0.3717034033977102,High,speculative
seeker,skr,Seeker,0.02123132,126242245,230,5772090.0,-5.07309,-6.7620852352235525,5950321912.947108,0.04572233328074925,0.04572233328074925,0.405453215254572,0.41096381339988025,0.029287357661487486,0.5410821643286573,0.0,0.36652233014622637,High,speculative
circle-internet-group-ondo-tokenized-stock,crclon,Circle Internet Group (Ondo Tokenized Stock),123.67,87512174,297,7813619.0,-6.50819,8.232493355943776,707648.908089731,0.0892860803572312,0.0892860803572312,0.3765294276512296,0.5105953823988358,0.058365628615188486,0.40681362725450904,0.0,0.3655365701696799,High,speculative
wemix-token,wemix,WEMIX,0.269555,124612003,234,1186771.0,-4.53499,-6.058704465495261,462277841.3255647,0.009523729427573683,0.009523729427573683,0.4162983759467597,0.4156374312188567,0.005125230167258,0.533066132264529,0.0,0.3654424775516324,High,speculative
beam-2,beam,Beam,0.00195893,96900931,276,6793686.0,-3.02704,-6.589343125689452,49466004168.0,0.0701096050356833,0.0701096050356833,0.44669042215710064,0.4121115994013628,0.04556556473735087,0.44889779559118237,0.0,0.36455577568164066,High,speculative
amp-token,amp,Amp,0.00128145,107996176,253,4184094.0,-3.71963,-7.970895363984671,84282159715.68228,0.03874298289969082,0.03874298289969082,0.4327315857999137,0.40293186711889284,0.02462872622868323,0.49498997995991983,0.0,0.36278483430478725,High,speculative
berachain-bera,bera,Berachain,0.534708,122648964,239,25253335.0,-9.14355,-6.239410485235383,229362177.8237613,0.20589929320560751,0.20589929320560751,0.32341494580442837,0.4144367289673863,0.13620352887738352,0.5230460921843687,0.0,0.35694965498243575,High,speculative
holotoken,hot,Holo,0.00045402,80586535,317,14927061.0,1.81998,11.942972005343739,177619433541.1413,0.185230212466636,0.185230212466636,0.5443799051124019,0.535249680439236,0.12240716905010411,0.3667334669338677,0.08,0.3501564575835317,High,speculative
banana-for-scale-2,bananas31,Banana For Scale,0.00917721,91567493,287,17388065.0,-13.74172,14.674198846786668,10000000000.0,0.18989342648050875,0.18989342648050875,0.23074092138518154,0.5533973338628083,0.12551980764779927,0.42685370741482964,0.0,0.34782060186167035,High,speculative
debridge,dbr,deBridge,0.01751904,82709156,310,3705768.0,2.76489,12.289904764208483,4721552490.0,0.04480480976011894,0.04480480976011894,0.5634241362769717,0.5375548772737235,0.02867492187876105,0.3807615230460922,0.08,0.34287597733814346,High,speculative
humanity,h,Humanity,0.096154,175198619,188,22321495.0,-7.06172,-28.02420375160473,1825000000.0,0.12740679765289703,0.12740679765289703,0.36537328232889793,0.26968753710114857,0.0838107434379955,0.625250501002004,0.0,0.33796174549483193,Medium,speculative
quack-ai,q,Quack AI,0.01386955,55594704,415,11920421.0,17.33987,7.996781650215695,4000176660.0,0.21441648470688862,0.21441648470688862,0.8571762273110208,0.5090291945309793,0.1418886505406785,0.17034068136272545,0.15,0.3366132444686877,High,speculative
ribbita-by-virtuals,tibbir,Ribbita by Virtuals,0.139154,139216971,212,2492835.0,-9.06922,-10.807678436099525,999904783.797368,0.017906114334293337,0.017906114334293337,0.32491303313810294,0.3840828446761436,0.010720370069431258,0.5771543086172345,0.0,0.33655755234298057,High,speculative
templar,sn3,τemplar,15.7,66173143,371,5301295.0,-17.32837,81.8880231767958,4222095.550090829,0.08011248611842421,0.08011248611842421,0.1584536223763821,1.0,0.05224236611375533,0.25851703406813625,0.08,0.3318121918745454,High,speculative
mina-protocol,mina,Mina Protocol,0.059305,75797921,328,8612380.0,1.98809,7.871741566579085,1278821914.840039,0.11362290530369559,0.11362290530369559,0.5477680856810019,0.508198364931819,0.07461016306039284,0.34468937875751504,0.08,0.33011300199984006,High,speculative
world-mobile-token,wmtx,World Mobile Token,0.091416,77764461,324,17421252.0,-2.63349,14.785485863919053,850523647.728708,0.22402588246577057,0.22402588246577057,0.4546222433621005,0.5541367811276113,0.14830280658754216,0.3527054108216433,0.08,0.3289557395642418,High,speculative
mbg-by-multibank-group,mbg,MBG By Multibank Group,0.349406,64769879,377,6790589.0,2.27702,15.541816213285683,185307099.39865518,0.10484177375103634,0.10484177375103634,0.5535913383827187,0.5591622227517804,0.06874886462525052,0.24649298597194388,0.08,0.3265712879349379,High,speculative
convex-finance,cvx,Convex Finance,1.71,156944774,204,14810767.0,-10.78803,-17.991612249026886,91758226.73956148,0.0943692906907496,0.0943692906907496,0.29027119955821234,0.3363491525943789,0.06175860964441903,0.593186372745491,0.0,0.32354535392203526,High,speculative
