id,ts,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,volume_to_mcap,final_score,risk_level,bucket,future_price_6h,future_return_6h,target_up_6h_3pct,rank_strength,score_x_liquidity,score_x_rank,price_lag_1,price_lag_2,score_lag_1,score_lag_2,volume_to_mcap_lag_1,rank_lag_1,price_return_1,price_return_2,score_delta_1,volume_to_mcap_delta_1,rank_change_1
157,2026-03-29 21:01:27.355962,EGLD,MultiversX,3.76,111484061.0,242,3896195.0,-2.35917,-4.028344470306004,0.034948448819064816,0.23055105583739904,High,speculative,3.67,-0.023936170212765923,0,0.004132231404958678,0.008057401775114695,0.0009526903133776821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2026-03-29 21:01:27.355962,ENA,Ethena,0.090598,769284744.0,78,55025108.0,-2.83534,-5.067874160324121,0.07152762150707619,0.3514983580542754,Medium,balanced,0.077747,-0.1418463983752401,0,0.01282051282051282,0.025141841515264954,0.004506389205824043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2026-03-29 21:01:27.355962,ENS,Ethereum Name Service,5.57,213889404.0,159,11934434.0,-2.4998,-5.340171473431936,0.055797219389138134,0.2942160813401296,Medium,speculative,5.54,-0.0053859964093357715,0,0.006289308176100629,0.01641643923834772,0.0018504156059127648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2026-03-29 21:01:27.355962,ETC,Ethereum Classic,8.0,1248775744.0,60,32335064.0,-1.87335,-0.8139714566209183,0.025893411331346296,0.3970023302739244,Medium,balanced,8.48,0.06000000000000005,1,0.016666666666666666,0.01027974463728572,0.0066167055045654065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2026-03-29 21:01:27.355962,ETH,Ethereum,2001.26,241500290749.0,2,7212030344.0,-1.07337,-3.3119761919888266,0.029863443731816142,0.4386263565841969,Low,balanced,2038.59,0.018653248453474276,1,0.5,0.013098893519143687,0.21931317829209845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2026-03-29 21:01:27.355962,ETHFI,Ether.fi,0.462062,363730473.0,115,22081402.0,-0.38747,-16.651480947744783,0.06070814418675336,0.29937977299205837,Medium,balanced,0.442939,-0.04138622089676266,0,0.008695652173913044,0.018174790425399368,0.0026033023738439858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2026-03-29 21:01:27.355962,EURC,EURC,1.15,421938093.0,105,9957104.0,0.05392,-0.37232833305644797,0.023598495052211368,0.5061594533657128,Medium,balanced,1.15,0.0,0,0.009523809523809525,0.011944601355880784,0.004820566222530598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2026-03-29 21:01:27.355962,FARTCOIN,Fartcoin,0.167996,167990616.0,186,38247232.0,-2.54903,-9.968543535523882,0.22767481250262217,0.37046861589298535,High,speculative,0.162861,-0.03056620395723708,0,0.005376344086021506,0.0843463726615414,0.0019917667521128246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2026-03-29 21:01:27.355962,FET,Artificial Superintelligence Alliance,0.231487,522824705.0,94,86030084.0,-5.95944,11.096250885451667,0.1645486205553351,0.55154735671128,Medium,balanced,0.227362,-0.017819575181327634,0,0.010638297872340425,0.09075635671778245,0.005867525071396595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2026-03-29 21:01:27.355962,FF,Falcon Finance,0.070468,164866022.0,188,7606351.0,-0.08631,-3.7249067165521206,0.046136559296614796,0.36786867172480703,Medium,speculative,0.069982,-0.006896747459839932,0,0.005319148936170213,0.01697219478639848,0.0019567482538553563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2026-03-29 21:01:27.355962,FIL,Filecoin,0.810848,619351650.0,86,60068915.0,-1.79201,-6.349140004952394,0.09698676834073179,0.39543177730856777,Medium,balanced,0.819297,0.010419955404712153,1,0.011627906976744186,0.038351650180389905,0.004598043922192648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
